@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R3

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
0,0,0.003562,0,0,7.23217,0,0,1,0,7,0,0,0.186578,0,0.000762,4,9,4,1,0,0,10,1.01,0,0,0,2,0,1,0,0,0,2.06,0,49,3,0.031474,0,clean
0,0,0.001345,0,0,3.37663,0,0,0,0,2,0,0,0.106458,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,10,2,0.037146,0,clean
5,0,0.005756,0,0,4.3792,0,0,0,0,45,0,0,0.123688,0,0.00199,8,5,3,1,0,0,21,2.03,0,0.000203,0,1,0,1,0,0,0,3.08,0,65,2,0.031479,0,clean
0,0,0.009157,0,0.000835,12.3495,0,0,0,0,9,0,1.04,0.317897,0,0,5,0,1,2,0,0,3,0,0.000904,0.001485,0,1,0,0,0,0,0,0,0,0,2,0.059161,0,clean
1,0,0.016089,0,0,11.6789,0,0,0,0,16,0,0,0.315377,0,0,3,0,2,2,0,1.01,21,0,0,0.004189,2.02,10,0,7,0,0,0.001015,2.04,0.003076,4,2,0.045812,0.003348,buggy
0,0,0.001965,0,0,3.44787,0,0,0,0,3,0,0,0.098762,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.02,0,29,2,0.033945,0,clean
5,0.002043,0.012191,0,0,12.2071,0,0,0,0,20,0,0,0.32437,0,0,5,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1.01,0,6,2,0.05328,0,clean
13,0,0.085533,0,0,10.8989,0,1.01,0,0,43,0.001704,0,0.315203,0,0,8,0,1,6,0,0,210,0,0,0.006457,0,17,0,17,0,0,0,0,0,6,5,0.07132,0.00211,clean
0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,6,30,5,4,0,0,66,0,0,0,0,1,0,1,0,0,0,1.02,0,253,12,0,0,clean
0,0,0.005466,0,0,8.67904,0,0,0,0,4,0,0,0.220203,0,0,3,0,1,0,0,0,1,0,0,0,1.01,0,0,0,0,0,0,0,0.000835,0,2,0.034465,0,clean
0,0.006437,0.060956,0.003788,0.002229,14.1196,0,0,0,0,12,0,2.02,0.439291,0,0,3,0,1,3,0,0,21,0,0.001917,0.023781,3.03,2,0,2,1,3.03,0,0,0.005061,0,4,0.140143,0.005278,buggy
0,0.001402,0.127777,0.000717,0.000938,9.00686,0,1.01,0,1,1,0.000769,1.05,0.257634,0,0,1,1,3,0,0,1.01,0,1.01,0.000556,0.001589,3.05,0,0,0,1,2.12,0.000545,4.13,0.002682,17,1,0.070112,0.001316,clean
0,0,0.25337,0,0.004244,16.9705,0,2.19,0,0,11,0.001412,4.13,0.450077,0,0,3,0,1,3,0,0,21,0,0.004002,0.008392,2.02,10,0,10,0,0,0,0,0.003349,0,4,0.072012,0.001527,clean
0,0.004098,0.021738,0.00117,0,13.6128,0,1.01,1,0,30,0.00068,0,0.35577,1.01,0,12,0,1,2,0.000612,0,78,0,0,0.00284,2.03,7,0,7,0,1.01,0,1.05,0.001785,30,11,0.04328,0.001942,clean
2,0.00086,0.077592,0.001135,0.002039,19.5212,0,1.02,0,1,29,0.000455,2.02,0.523646,0,0.03548,20,12,2,1,0,0,36,11.18,0.001921,0.018451,5.12,5,0,5,1,2.02,0,2.04,0.004647,11,3,0.10354,0.000638,buggy
0,0.007551,0.01117,0.00117,0,7.53549,0,0,0,0,8,0,0,0.198653,0,0,2,5,5,7,0,0,15,0,0,0,0,2,0,2,0,1.01,0,3.04,0,85,5,0.03199,0,clean
0,0,0.006735,0,0,3.36633,0,0,0,0,6,0,0,0.107253,0,0,2,0,1,2,0,0,6,0,0,0.004997,0,1,0,0,0,0,0,0,0,0,4,0.040121,0,clean
0,0.001992,0.016661,0.002033,0,9.53015,0,0,0,0,13,0,0,0.255908,0,0,4,0,2,6,0,0,21,0,0,0.001925,1.02,2,0,2,0,1.02,0,2.03,0.002143,14,7,0.04191,0.00211,clean
0,0,0.004602,0.00053,0.000549,3.10486,0,0,0,0,2,0,1.01,0.090388,0,0,1,0,2,1,0,1.01,1,0,0.000547,0.000529,1.01,0,0,0,0,1.02,0.000259,2.08,0.000989,15,2,0.03097,0.000606,clean
0,0.000935,0.020243,0.003248,0,10.3534,0,0,0,0,69,0,0,0.271299,0,0,8,6,3,8,0,0,666,0,0,0.00899,1.01,11,0,8,0,3.04,0,2.02,0.000989,34,35,0.040962,0.003759,clean
2,0.00227,0.017011,0.000809,0,13.6031,0,1.01,0,0,21,0.000819,0,0.347253,0,0,8,28,6,3,0,0,45,0,0,0.002308,1.02,1,0,1,0,1.01,0,10.48,0.000761,158,8,0.039576,0.001658,clean
0,0,0.01624,0,0,8.83054,0,0,0,0,11,0,0,0.249487,0,0,4,1,2,1,0,0,15,0,0,0.006717,0,0,0,0,0,0,0,1.01,0,19,2,0.049993,0,clean
12,0,0.206434,0,0.002247,19.0251,0,2.09,0,0,53,0.001975,2.06,0.521957,0,0.004845,14,1,4,1,0,0,231,2.02,0.002975,0.023762,3.05,9,0,9,0,0,0,6.1,0.003222,39,4,0.12471,0.002274,clean
0,0.001585,0.000952,0,0,2.98342,0,0,0,0,2,0,0,0.091995,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.031997,0,clean
0,0,0.004862,0.00054,0,4.78875,0,0,0,0,8,0,0,0.130061,0,0,4,4,3,1,0,0,6,0,0,0.000751,0,0,0,0,0,1.01,0,3.03,0,21,2,0.03405,0.000661,clean
2,0,0.006681,0,0,5.83014,0,0,0,0,21,0,0,0.180778,0,0,15,0,1,2,0,0,15,0,0,0.002419,0,5,0,5,0,0,0,0,0,6,3,0.056577,0,clean
7,0,0.047641,0,0,7.41817,0,0,0,0,26,0,0,0.219727,0,0,12,13,5,1,0,0,153,0,0,0,0,2,0,0,0,0,0,2.04,0,80,9,0.051705,0,clean
0,0.00113,0.017053,0,0,7.04931,0,0,1,0,7,0,0,0.2076,0,0,0,0,2,1,0,1.01,10,0,0,0.010165,2.02,6,0,3,0,0,0.001015,2.04,0.003076,4,3,0.048424,0.003348,clean
0,0,0.000175,0,0,1.76682,0,0,0,0,4,0,0,0.061715,0,0.001203,4,7,4,0,0,0,3,1.01,0,0.004997,0,0,0,0,0,0,0,1.01,0,36,1,0.033928,0,clean
0,0,0.004586,0,0,6.42599,0,0,0,0,13,0,0,0.168539,0,0,2,0,1,1,0,0,36,0,0,0.004532,0,2,0,2,0,0,0,1.01,0,11,8,0.031381,0,clean
0,0.00235,0.0001,0,0,1.76682,0,0,0,0,2,0,0,0.061715,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.033928,0,clean
7,0.032718,0.100048,0.002842,0,22.5908,0,3.08,2,0,87,0.002268,0,0.577493,0,0,12,0,1,69,0,0,780,0,0,0.014761,4.04,11,0,10,1,3.03,0,1.01,0.003243,6,22,0.062509,0.005194,clean
0,0,0.014591,0,0.001571,5.97445,0.001118,0,0,0,9,0,1.01,0.174141,0,0.00276,3,4,2,1,0,0,10,2.03,0.002852,0.007926,0,2,0,1,0,0,0,2.04,0,15,2,0.041472,0.001484,clean
3,0,0.001172,0,0,1.76682,0,0,2,0,21,0,0,0.061715,0,0,6,1,3,3,0,0,36,0,0,0,0,4,0,0,0,0,0,0,0,72,2,0.033928,0,buggy
2,0,0.03301,0,0,5.02919,0,0,0,0,30,0,0,0.157739,0,0,5,0,1,1,0,0,66,0,0,0.007219,1.02,2,0,1,0,0,0,0,0.002203,0,9,0.052183,0,clean
0,0.005812,0.061773,0.00129,0.001749,15.6337,0,2.02,2,1,32,0.001864,2.02,0.409811,0,0,11,0,1,8,0,0,171,0,0.000755,0.004573,3.03,6,0,0,2,1.01,0,2.02,0.00278,7,10,0.048506,0.000779,clean
0,0,0.003634,0,0,6.41569,0,0,0,0,7,0,0,0.169334,0,0,1,0,1,1,0,0,6,0,0,0.004997,0,5,0,2,0,0,0,1.01,0,6,4,0.034357,0,clean
0,0,0.011171,0,0.002713,7.34746,0,0,2,0,15,0,1.01,0.216974,0,0,5,62,4,2,0,0,91,0,0.001748,0.005607,1.01,2,0,2,0,0,0,1.01,0.000547,55,8,0.052003,0.000986,clean
4,0.014234,0.043644,0,0,17.4516,0,2.02,0,1,27,0.001295,0,0.46316,0,0,12,0,1,14,0,0,36,0,0,0.005203,4.11,1,2,1,1,0,0,1.01,0.004399,6,5,0.068841,0.001772,clean
7,0.001402,0.010789,0,0,6.68071,0,0,0,0,29,0,0,0.178567,0,0,9,0,1,1,0,0,55,0,0,0.004997,0,8,0,8,0,0,0,1.01,0,6,4,0.034606,0,clean
11,0,0.050981,0.001047,0,6.43978,0,0,0,0,45,0,0,0.193447,0,0,13,13,5,0,0,0,378,0,0,0.006043,0,13,0,13,0,1.02,0,1.03,0,80,12,0.049755,0.002887,clean
0,0,0.012905,0.000554,0.002713,14.705,0,0,6,0,40,0,1.01,0.37988,0,0,9,1,2,9,0,0,253,0,0.002652,0.005767,2.02,5,0,1,0,1.02,0,2.03,0.002995,14,12,0.050162,0.000493,clean
8,0.001696,0.186623,0.002033,0.000829,21.0803,0,2.04,0,2,85,0.004375,1.01,0.582136,0,0,24,0,1,4,0,0,45,0,0.000746,0.014822,7.15,1,0,1,5,1.01,0,1.01,0.018848,6,2,0.139766,0.00109,clean
0,0,0.003847,0,0,7.47927,0,0,0,0,5,0,0,0.194515,0,0,0,0,1,1,0,0,10,0,0,0,0,1,0,1,0,0,0,1.01,0,6,5,0.034528,0,clean
9,0.003184,0.07833,0.002009,0.00238,13.1185,0,0,0,0,105,0,2.02,0.362249,0,0,10,3,3,1,0,0,210,0,0.002192,0.005812,2.02,2,0,2,0,1.01,0,2.02,0.003672,10,4,0.056652,0.004282,clean
2,0,0.11683,0,0,7.92388,0,2.06,0,0,27,0.00288,0,0.249616,0,0,9,0,1,1,0,0,78,0,0,0.008333,3.15,1,0,0,0,0,0,0,0.006385,0,9,0.089038,0.003488,clean
0,0,0.000333,0,0,1.56044,0,0,0,0,3,0,0,0.052586,0,0,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0.024708,0,clean
0,0,0.004829,0.000811,0,7.38593,0,0,0,0,4,0,0,0.193283,0,0.001644,0,3,3,0,0,1.01,6,2.08,0,0.000706,0,0,0,0,0,1.02,0.000742,5.13,0,33,3,0.0347,0.000789,clean
0,0.005319,0.026516,0.002033,0,10.9599,0,0,0,0,16,0,0,0.304141,0,0.0074,7,14,4,3,0,0,66,3.12,0,0.002832,2.03,1,0,1,0,1.02,0,9.7,0.002972,178,12,0.053749,0.00211,buggy
0,0,0.001048,0,0,1.76682,0,0,0,0,7,0,0,0.061715,0,0,2,0,1,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0.033928,0,clean
0,0,0.00302,0,0,3.03348,0,0,0,0,5,0,0,0.093124,0,0,5,0,1,1,0,0,0,0,0,0.000881,2.03,0,0,0,0,0,0,1.01,0.002442,6,1,0.034426,0,buggy
0,0.014215,0.00343,0,0,9.97572,0,0,1,0,3,0,0,0.268533,1.01,0.00164,3,4,8,8,0.000612,0,3,2.02,0,0,1.01,1,0,1,0,0,0,8.14,0.002497,172,3,0.049191,0,clean
1,0,0.008098,0,0,6.21176,0,0,0,0,4,0,0,0.189499,0,0,4,0,2,1,0,1.01,6,0,0,0.001886,0,1,0,0,0,0,0.0023,5.09,0,28,1,0.053616,0.00182,clean
1,0,0.039959,0,0,17.3833,0,0,0,0,21,0,0,0.436927,0,0.001317,7,5,3,1,0,3.03,36,3.07,0,0.008293,4.09,0,0,0,1,0,0.000993,12.55,0.004525,31,2,0.044364,0.00328,clean
0,0,0.009566,0,0,3.71677,0,0,0,0,8,0,0,0.117977,0,0,2,5,6,12,0,0,15,0,0,0,0,3,0,3,0,0,0,1.01,0,75,3,0.041707,0,clean
0,0.000807,0.007671,0,0,11.6303,0,0,0,0,3,0,0,0.286605,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.034535,0,clean
0,0,0.00329,0,0,3.12148,0,0,3,0,7,0,0,0.094543,0,0,3,0,1,3,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,30,5,0.031592,0,clean
1,0,0.03199,0,0,6.60445,0,0,1,0,69,0,0,0.184495,0,0,6,3,2,1,0,0,153,0,0,0.008278,0,3,0,0,1,0,0,1.01,0,13,1,0.036543,0.002819,clean
2,0.006056,0.01927,0.000424,0.000835,9.69581,0,0,0,0,12,0,1.01,0.24347,0,0,6,0,2,2,0,0,21,0,0.000904,0.006571,1.01,6,0,5,1,1.01,0,0,0.000525,8,5,0.034483,0.000561,clean
0,0,0.018524,0,0,8.10954,0,0,0,0,12,0,0,0.223317,0,0.001175,3,5,3,1,0,0,6,1.01,0,0.000719,1.01,1,0,1,0,0,0,3.1,0.000701,14,3,0.04248,0,clean
0,0,0.002662,0,0,4.57263,0,0,0,0,11,0,0,0.138328,0,0,8,1,3,1,0,0,15,0,0,0,0,1,0,0,0,0,0,4.04,0,41,2,0.041165,0,clean
7,0,0.260607,0.0017,0.001317,25.4544,0,1.03,2,1,49,0.000825,2.02,0.663793,0,0,21,0,1,2,0,0,210,0,0.001694,0.022456,1.03,12,2,0,2,2.02,0,0,0.001255,0,6,0.113747,0.001305,clean
12,0.003709,0.243971,0.001814,0.002944,31.5124,0,9.2,0,0,108,0.005623,3.03,0.81994,0,0.000674,17,0,2,1,0,0,190,1.01,0.002996,0.022788,14.3,4,1,4,1,2.04,0,4.05,0.015762,12,5,0.132906,0.007169,clean
0,0,0.006645,0,0,9.09107,0,0,0,0,20,0,0,0.228716,0,0.000762,9,8,3,2,0,0,45,1.01,0,0.00513,3.03,3,0,3,0,0,0,2.07,0.002537,55,8,0.03153,0,clean
0,0,0.029027,0.00126,0,10.8518,0,1.03,0,0,6,0.00132,0,0.289639,0,0,1,0,1,0,0,0,0,0,0,0.006457,1.01,0,0,0,0,1.01,0,0,0.002006,0,1,0.044256,0.001394,clean
0,0,0.001932,0,0,3.15995,0,0,2,0,2,0,0,0.098123,0,0,0,13,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.04,0,80,2,0.0309,0,clean
0,0.003224,0.003699,0.000828,0,5.82553,0,0,0,0,3,0,0,0.167057,0,0,1,4,3,3,0,0,3,0,0,0.002084,2.06,1,0,1,0,1.01,0,4.1,0.002196,44,3,0.038088,0.000959,clean
2,0.005587,0.01603,0.00443,0,3.20427,0,1.01,0,0,16,0.005702,0,0.121631,0,0,11,0,1,1,0,0,15,0,0,0.006476,0,5,0,5,0,1.02,0,0,0,0,4,0.086187,0.005735,clean
0,0,0.002055,0,0,2.98148,0,0,0,0,2,0,0,0.100208,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.046791,0,clean
1,0.002382,0,0.004613,0.011972,0,0,2.02,0,0,52,0.004234,4.05,0,0,0,12,0,1,2,0,0,55,0,0.011468,0.022207,2.03,2,0,1,0,3.05,0,1.01,0.007711,6,7,0,0.004304,clean
0,0,0.000075,0,0,1.76682,0,0,0,0,3,0,0,0.061715,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.02,0,29,2,0.033928,0,clean
1,0.001237,0.030867,0.00299,0.00147,13.9484,0,0,0,0,19,0,2.02,0.363242,0,0.004977,14,0,4,4,0,1.01,45,2.02,0.001369,0.008745,4.07,0,0,0,0,3.06,0.00091,11.41,0.003691,72,7,0.050064,0.001881,buggy
1,0,0.002362,0,0,4.64887,0,0,0,0,4,0,0,0.107619,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2.02,0,29,2,0.000428,0,clean
0,0,0.019103,0,0,4.43166,0,0,2,0,13,0,0,0.125048,0,0,4,0,1,3,0,0,21,0,0,0,0,1,0,0,0,0,0,1.01,0,6,1,0.034296,0,buggy
0,0.001402,0.062114,0.000717,0.000938,8.00589,0,0,0,0,0,0,1.03,0.236267,0,0,0,0,3,0,0,1.01,0,0,0.000556,0.00189,2.03,0,0,0,0,1.09,0.000545,4.13,0.002078,17,0,0.070338,0.000907,clean
1,0.00478,0.017957,0,0,5.88907,0,1.01,0,0,11,0.00236,0,0.176443,0,0,2,1,2,4,0,0,3,0,0,0.002222,3.03,1,0,1,0,0,0,1.01,0.003604,10,2,0.049319,0.002453,clean
5,0.0049,0.179403,0.00196,0.000938,22.1232,0,1.01,0,3,47,0.001399,1.02,4.62534,0,0,11,0,1,6,0,0,36,0,0.000556,0.064043,4.04,2,0,2,5,2.02,0,1.01,0.012484,6,4,0.333614,0.003838,buggy
1,0,0.001519,0,0,1.77712,0,0,0,0,12,0,0,0.06092,0,0,2,0,1,1,0,0,10,0,0,0.004532,0,4,0,4,0,0,0,0,0,0,4,0.030953,0,clean
8,0,0.136505,0.002385,0.004435,17.1585,0,3.08,0,1,33,0.006328,1.05,0.466646,0,0.001986,18,0,3,1,0,0,120,1.01,0.005091,0.021327,4.14,8,0,8,1,2.06,0,3.04,0.009494,21,7,0.115743,0.007428,clean
0,0,0.004746,0,0,6.41569,0,0,0,0,8,0,0,0.169334,0,0,4,0,1,4,0,0,15,0,0,0.004997,0,2,0,2,0,0,0,1.01,0,6,6,0.034357,0,clean
0,0,0.030271,0.0007,0.001588,10.6096,0,0,0,0,3,0,2.03,0.274838,0,0,6,0,2,1,0,0,3,0,0.001659,0.003077,2.03,6,0,5,0,1.01,0,8.18,0.002692,28,1,0.042638,0.00237,clean
3,0,0.001546,0,0,1.76682,0,0,0,0,28,0,0,0.061715,0,0,14,2,5,3,0,0,36,0,0,0.004997,0,4,0,4,0,0,0,1.02,0,55,5,0.033928,0,buggy
0,0.030802,0.005721,0,0,7.27922,0,0,0,1,14,0,0,0.187232,0,0.002952,9,2,5,17,0,0,78,2.02,0,0,0,4,1,4,1,0,0,3.06,0,72,12,0.031388,0,buggy
0,0,0.0184,0.002009,0,4.41258,0,0,0,0,9,0,0,0.138856,0,0.00651,2,110,6,1,0,1.01,36,3.25,0,0.004641,1.02,1,0,1,0,1.01,0.0023,5.9,0.002417,412,9,0.046384,0.002356,clean
8,0,0.014193,0,0.000524,10.6248,0,0,0,0,28,0,1.01,0.26377,0,0,6,0,1,0,0,1.01,66,0,0.000499,0.006232,2.02,6,0,6,0,0,0.000259,1.1,0.00127,0,1,0.034525,0,clean
0,0,0.002726,0,0,6.41569,0,0,0,0,2,0,0,0.169334,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0.034357,0,clean
0,0,0.003923,0,0,6.59546,0,0,2,0,17,0,0,0.185585,0,0,4,0,3,3,0,0,78,0,0,0.001679,1.01,1,0,1,0,0,0,1.02,0.001815,14,12,0.04258,0,clean
6,0,0.144068,0.002385,0.003837,18.2694,0,4.1,0,0,22,0.004545,4.08,0.471438,0,0.001986,19,0,3,1,0,0,91,1.01,0.003182,0.015139,4.23,4,0,4,0,2.06,0,3.04,0.004687,21,7,0.06048,0.004788,clean
0,0.00136,0.02586,0.001371,0,17.2695,0,0,2,0,12,0,0,0.428158,0,0.004977,5,0,3,2,0,1.01,10,2.02,0,0.008031,4.05,0,1,0,2,1.03,0.00091,11.41,0.002769,67,5,0.037581,0,clean
0,0,0.000274,0,0,1.76682,0,0,0,0,3,0,0,0.061715,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.033928,0,clean
0,0,0.011264,0,0,12.9417,0,0,0,0,5,0,0,0.317737,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.034705,0,clean
0,0.034124,0.00437,0,0,9.31549,0,0,0,0,14,0,0,0.239474,0,0,2,0,1,49,0,0,10,0,0,0.004997,0,0,1,0,0,0,0,1.01,0,6,5,0.035268,0,clean
0,0,0.008904,0,0,8.91487,0,0,2,0,21,0,0,0.229412,0,0,3,0,2,2,0,0,78,0,0,0.000636,0,3,0,1,0,0,0,0,0,6,9,0.035282,0,clean
0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,30,5,6,0,0,45,0,0,0,0,1,0,1,0,0,0,1.02,0,253,10,0,0,clean
7,0,0.0219,0.000702,0.001807,10.193,0,0,0,0,26,0,2.02,0.274414,0,0,10,0,1,1,0,0,55,0,0.001462,0.009265,0,3,0,2,0,1.01,0,0,0,0,3,0.043175,0.000822,buggy
0,0.008523,0.022394,0,0,6.83528,0,0,2,0,12,0,0,0.189942,0,0,5,6,5,11,0,0,21,0,0,0.001115,1.01,1,0,1,0,0,0,4.11,0.000918,71,5,0.038501,0.00109,clean
3,0,0.017439,0,0,7.63864,0,1.01,7,0,36,0.001161,0,0.218025,2.02,0,7,3,2,1,0.004691,0,120,0,0,0.007944,1.01,6,0,6,0,0,0,2.02,0.001235,20,9,0.044728,0.001341,buggy
2,0,0.022489,0.000583,0.000524,20.424,0,0,2,0,45,0,1.01,0.531043,0,0,14,0,1,3,0,0,105,0,0.000499,0.001916,3.03,9,0,3,0,1.01,0,0,0.003092,1,7,0.067966,0.000664,buggy
29,0.007656,0.123242,0.008012,0.004558,28.1851,0,8.12,1,0,259,0.008204,4.04,0.784593,0,0,37,7,3,17,0,0,3321,0,0.004217,0.036425,12.15,17,0,16,5,5.07,0,3.04,0.019739,33,53,0.191565,0.019082,buggy
1,0,0.002365,0,0,5.97024,0,0,0,0,4,0,0,0.181044,0,0,5,0,2,1,0,0,6,0,0,0.001549,1.01,1,0,0,0,0,0,2.07,0.001534,28,1,0.05049,0,clean
0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,7,0,4,2,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,clean
1,0,0.079611,0,0,7.57679,0,0,0,0,49,0,0,0.232433,0,0,8,0,1,1,0,0,66,0,0,0.014775,0,5,0,5,0,0,0,1.01,0,6,2,0.100621,0,clean
0,0,0.002117,0,0,5.98276,0,0,0,0,4,0,0,0.159804,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,0,6,2,0.034432,0,clean
0,0.013173,0.087925,0.006223,0,10.7326,0,0,0,0,57,0,0,0.326582,0,0,8,0,1,17,0,0,28,0,0,0.016919,2.07,0,0,0,1,4.07,0,1.01,0.002773,6,8,0.116528,0.007226,buggy
0,0,0.016468,0.005575,0,7.2298,0,0,0,0,3,0,0,0.28347,0,0.023538,4,46,3,1,0,0,6,8.2,0,0.005976,0,0,0,0,0,2.02,0,5.05,0,19,3,0.178824,0.005706,clean
0,0.002751,0.000623,0,0,1.77712,0,0,0,0,21,0,0,0.06092,0,0,3,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0.030953,0,clean
0,0,0.030916,0,0,4.77474,0,0,0,0,6,0,0,0.143885,0,0,5,0,3,0,0,0,6,0,0,0.001679,2.05,2,0,2,0,0,0,0,0.003655,1,4,0.040995,0,clean
0,0,0.016927,0.002009,0,4.41258,0,0,0,0,8,0,0,0.138856,0,0.00651,2,110,6,1,0,1.01,28,3.25,0,0.002419,1.02,1,0,1,0,1.01,0.0023,5.9,0.002417,411,8,0.046384,0.002356,clean
0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,30,5,2,0,0,21,0,0,0,0,1,0,1,0,0,0,1.02,0,253,7,0,0,clean
0,0,0.172025,0.005575,0.002642,14.5368,0,0,0,0,19,0,2.02,0.493271,0,0,4,0,2,1,0,0,45,0,0.002797,0.013574,2.05,7,0,7,1,2.02,0,2.02,0.002647,6,10,0.219136,0.005706,buggy
0,0,0.004395,0,0,4.00609,0,0,3,0,10,0,0,0.135862,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,6,2,0.067234,0,clean
0,0.000806,0.004212,0,0,7.20153,0,0,0,0,1,0,0,0.192897,0,0,0,0,1,3,0,0,0,0,0.000556,0,0,3,0,0,0,0,0,0,0,0,1,0.035326,0,clean
0,0.005587,0,0,0,0,0,0,6,0,3,0,0,0,2.03,0,0,0,2,2,0.000485,0,3,0,0,0.000824,0,1,0,0,0,0,0,0,0,2,2,0,0,clean
10,0.001867,0.41752,0.002033,0.003075,14.7275,0,4.04,0,0,87,0.011005,2.05,0.436739,0,0,13,9,2,2,0,0,253,0,0.003467,0.022628,7.1,5,0,5,0,1.02,0,7.11,0.016885,35,2,0.116808,0.013979,clean
0,0.004086,0.000349,0,0.00226,1.76682,0,0,0,0,3,0,1.01,0.061715,0,0,2,5,3,0,0,0,3,0,0.00139,0.004997,0,1,0,1,0,0,0,0,0,14,2,0.033928,0,clean
0,0,0.003256,0,0,2.8819,0,0,0,0,3,0,0,0.088687,0,0,1,0,2,1,0,0,1,0,0,0.004997,0,0,0,0,0,0,0,6.15,0,28,1,0.034168,0,clean
0,0,0.001135,0,0.003313,2.6367,0,0,0,0,15,0,1.01,0.091253,0,0,5,0,1,0,0,0,6,0,0.003308,0.009529,0,2,0,2,0,0,0,0,0,6,4,0.048307,0,clean
